iter	Passed	Remaining
864	1074	167
865	1075	166
866	1075	165
867	1076	163
868	1077	162
869	1077	161
870	1078	159
871	1078	158
872	1079	157
873	1080	155
874	1080	154
875	1081	153
876	1082	151
877	1082	150
878	1083	149
879	1083	147
880	1084	146
881	1085	145
882	1085	143
883	1086	142
884	1086	141
885	1087	139
886	1087	138
887	1088	137
888	1088	135
889	1089	134
890	1090	133
891	1090	132
892	1091	130
893	1091	129
894	1092	128
895	1092	126
896	1093	125
897	1093	124
898	1094	122
899	1095	121
900	1096	120
901	1096	119
902	1097	117
903	1097	116
904	1098	115
905	1099	114
906	1099	112
907	1100	111
908	1100	110
909	1101	108
910	1101	107
911	1102	106
912	1102	105
913	1103	103
914	1103	102
915	1104	101
916	1105	100
917	1105	98
918	1106	97
919	1106	96
920	1107	94
921	1107	93
922	1108	92
923	1109	91
924	1109	89
925	1110	88
926	1110	87
927	1111	86
928	1112	85
929	1113	83
930	1114	82
931	1114	81
932	1115	80
933	1116	78
934	1116	77
935	1117	76
936	1117	75
937	1118	73
938	1118	72
939	1119	71
940	1120	70
941	1120	69
942	1121	67
943	1121	66
944	1122	65
945	1122	64
946	1123	62
947	1124	61
948	1124	60
949	1125	59
950	1125	58
951	1126	56
952	1127	55
953	1128	54
954	1128	53
955	1129	51
956	1129	50
957	1130	49
958	1130	48
959	1131	47
960	1131	45
961	1132	44
962	1133	43
963	1133	42
964	1134	41
965	1134	39
966	1135	38
967	1135	37
968	1136	36
969	1136	35
970	1137	33
971	1138	32
972	1138	31
973	1139	30
974	1139	29
975	1140	28
976	1141	26
977	1142	25
978	1142	24
979	1143	23
980	1143	22
981	1144	20
982	1145	19
983	1145	18
984	1146	17
985	1146	16
986	1147	15
987	1147	13
988	1148	12
989	1148	11
990	1149	10
991	1150	9
992	1150	8
993	1151	6
994	1151	5
995	1152	4
996	1152	3
997	1153	2
998	1154	1
999	1154	0
